datetime,Anemometer;wind_speed;Avg (m/s),Anemometer;wind_speed;Max (m/s),Anemometer;wind_speed;Min (m/s),Anemometer;wind_speed;StdDev (m/s),Anemometer;wind_speed;Count (),Wind Vane TMR;wind_direction;Avg (°),Wind Vane TMR;wind_direction;StdDev (°),Wind Vane TMR;wind_direction;Count (),Hygro/Thermo;humidity;Avg (%),Hygro/Thermo;humidity;Max (%),Hygro/Thermo;humidity;Min (%),Hygro/Thermo;humidity;StdDev (%),Hygro/Thermo;humidity;Count (),Hygro/Thermo;temperature;Avg (°C),Hygro/Thermo;temperature;Max (°C),Hygro/Thermo;temperature;Min (°C),Hygro/Thermo;temperature;StdDev (°C),Hygro/Thermo;temperature;Count (),Barometer;air_pressure;Avg (hPa),Barometer;air_pressure;Max (hPa),Barometer;air_pressure;Min (hPa),Barometer;air_pressure;StdDev (hPa),Barometer;air_pressure;Count (),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Avg (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Max (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Min (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;StdDev (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Count (),GHI (Global Horizontal Irradiance);solar_irradiance;Avg (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Max (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Min (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;StdDev (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Count (),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Avg (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Max (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Min (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;StdDev (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Count (),Precipitation;precipitation;Count (),Precipitation;precipitation;Sum (mm),GTI (Global Tilt Irradiance) PV Cell;voltage;Avg (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Max (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Min (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;StdDev (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Count (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A5;channel;Avg (V),A5;channel;Max (V),A5;channel;Min (V),A5;channel;StdDev (V),A6;channel;Avg (V),A6;channel;Max (V),A6;channel;Min (V),A6;channel;StdDev (V),A7;channel;Avg (V),A7;channel;Max (V),A7;channel;Min (V),A7;channel;StdDev (V),C1;channel;Avg (I),C1;channel;Max (I),C1;channel;Min (I),C1;channel;StdDev (I),C2;channel;Avg (I),C2;channel;Max (I),C2;channel;Min (I),C2;channel;StdDev (I),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2021-06-29 00:00:00,1.6459,3.4852,0.394,0.6881,120,191.953,22.4282,120,81.1111,81.3929,80.7825,0.1897,120,22.434,22.4888,22.3881,0.0293,120,1010.2799,1010.4678,1010.2481,0.0434,120,0,0,0,0,120,0,0,0,0,120,13.1792,13.7689,12.786,0.2074,120,120,0,0,0,0,0,120,3.5047,3.5078,3.5041,0.0007,0.5243,0.5249,0.5239,0.0003,0.8111,0.8139,0.8078,0.0019,-0.0001,-0.0001,-0.0001,0,-0.0006,-0.0006,-0.0006,0,0,0,0,0,0,0,0,0,156.075,356,20,74.7941,0,0,0,0,546.2667,761,404,64.7102,32,42.75,49,41,23.78,23.78,23.73
2021-06-29 00:10:00,1.3377,2.786,0.4492,0.5483,120,194.7689,22.8353,120,81.6418,81.8812,81.3929,0.1256,120,22.3429,22.3972,22.2874,0.0304,120,1010.3085,1010.4678,1010.2481,0.0761,120,0,0,0,0,120,0,0,0,0,120,13.171,13.2775,12.786,0.2033,120,120,0,0,0,0,0,120,3.5051,3.5078,3.5041,0.0013,0.5234,0.524,0.5229,0.0003,0.8164,0.8188,0.8139,0.0013,-0.0001,-0.0001,-0.0001,0,-0.0006,-0.0006,-0.0006,0,0,0,0,0,0,0,0,0,122.575,280,26,59.599,0,0,0,0,552.3167,744,356,65.8715,32,40.9167,45,39,23.78,23.78,23.78
2021-06-29 00:20:00,1.2617,2.74,0.3112,0.5031,120,195.458,33.2024,120,82.0833,82.3084,81.8506,0.1427,120,22.2333,22.2904,22.1928,0.0273,120,1010.3325,1010.4678,1010.0833,0.0916,120,0,0,0,0,120,0,0,0,0,120,13.1341,13.2775,12.786,0.2243,120,120,0,0,0,0,0,120,3.5055,3.5078,3.5014,0.0015,0.5223,0.5229,0.5219,0.0003,0.8208,0.8231,0.8185,0.0014,-0.0001,-0.0001,-0.0001,0,-0.0006,-0.0005,-0.0006,0,0,0,0,0,0,0,0,0,114.3167,275,11,54.6823,0,0,0,0,551.5833,951,62,102.7876,31.7,40.9,45,39,23.77,23.78,23.73
2021-06-29 00:30:00,1.5937,3.4024,0.4308,0.6966,120,196.0712,27.3707,120,82.4597,82.6746,82.2779,0.1181,120,22.1447,22.205,22.0982,0.0301,120,1010.2539,1010.4312,1010.065,0.0566,120,0,0,0,0,120,0,0,0,0,120,13.1628,13.7689,12.786,0.2182,120,120,0,0,0,0,0,120,3.5042,3.5072,3.5011,0.0009,0.5214,0.5221,0.521,0.0003,0.8246,0.8267,0.8228,0.0012,-0.0001,-0.0001,-0.0001,0,-0.0006,-0.0005,-0.0006,0,0,0,0,0,0,0,0,0,150.4,347,24,75.7177,0,0,0,0,558.1167,858,277,81.6865,31,40.8167,45,39,23.74,23.78,23.73
2021-06-29 00:40:00,1.1477,2.05,0.3204,0.4048,120,201.6808,23.4091,120,82.7652,82.9188,82.6441,0.0804,120,22.0591,22.1043,22.0127,0.0268,120,1010.2011,1010.4678,1010.065,0.1138,120,0,0,0,0,120,0,0,0,0,120,13.1341,13.7689,12.786,0.2332,120,120,0,0,0,0,0,120,3.5034,3.5078,3.5011,0.0019,0.5206,0.521,0.5201,0.0003,0.8277,0.8292,0.8264,0.0008,-0.0001,-0.0001,-0.0001,0,-0.0006,-0.0006,-0.0006,0,0,0,0,0,0,0,0,0,101.925,200,12,43.9995,0,0,0,0,575.6417,958,443,70.657,31,40.9667,47,39,23.73,23.78,23.73
2021-06-29 00:50:00,1.248,3.0988,0.3388,0.4988,120,204.1657,22.4403,120,83.0615,83.224,82.9188,0.0697,120,21.9583,22.0158,21.8754,0.0385,120,1010.2231,1010.2847,1010.0467,0.0726,120,0,0,0,0,120,0,0,0,0,120,13.0522,13.2775,12.786,0.2459,120,120,0,0,0,0,0,120,3.5037,3.5047,3.5008,0.0012,0.5196,0.5202,0.5188,0.0004,0.8306,0.8322,0.8292,0.0007,-0.0001,-0.0001,-0.0001,0,-0.0006,-0.0006,-0.0006,0,0,0,0,0,0,0,0,0,112.825,314,14,54.2168,0,0,0,0,580.6333,806,418,64.7975,31,41.1167,45,39,23.73,23.73,23.73
2021-06-29 01:00:00,1.0426,2.4916,0.3756,0.3745,120,205.0139,25.5512,120,83.3715,83.5597,83.1935,0.1024,120,21.8253,21.8876,21.7686,0.0321,120,1010.1999,1010.2847,1010.065,0.0866,120,0,0,0,0,120,0,0,0,0,120,13.0358,13.2775,12.786,0.2467,120,120,0,0,0,0,0,120,3.5033,3.5047,3.5011,0.0014,0.5182,0.5189,0.5177,0.0003,0.8337,0.8356,0.8319,0.001,-0.0001,-0.0001,-0.0001,0,-0.0006,-0.0006,-0.0006,0,0,0,0,0,0,0,0,0,90.5,248,18,40.7117,0,0,0,0,581.7417,753,373,73.3228,31,40.9333,47,39,23.73,23.73,23.73
2021-06-29 01:10:00,1.2595,2.2708,0.5872,0.3609,120,206.5189,23.7086,120,83.698,83.8649,83.5292,0.0858,120,21.7244,21.7777,21.6709,0.0293,120,1010.1866,1010.2664,1010.0467,0.0918,120,0,0,0,0,120,0,0,0,0,120,13.0727,13.2775,12.786,0.2433,120,120,0,0,0,0,0,120,3.5031,3.5044,3.5008,0.0015,0.5172,0.5178,0.5167,0.0003,0.837,0.8386,0.8353,0.0009,-0.0001,-0.0001,-0.0001,0,-0.0006,-0.0006,-0.0006,0,0,0,0,0,0,0,0,0,114.075,224,41,39.2255,0,0,0,0,587.3833,820,381,68.709,31,40.9667,47,39,23.73,23.73,23.68
2021-06-29 01:20:00,1.0081,2.2984,0,0.4298,120,209.0875,32.7113,120,84.0101,84.1395,83.8649,0.0781,120,21.6338,21.677,21.5976,0.0202,120,1010.0873,1010.2664,1009.8636,0.0758,120,0,0,0,0,120,0,0,0,0,120,13.0154,13.2775,12.786,0.2462,120,120,0,0,0,0,0,120,3.5015,3.5044,3.4977,0.0013,0.5163,0.5168,0.516,0.0002,0.8401,0.8414,0.8386,0.0008,-0.0001,-0.0001,-0.0001,0,-0.0006,-0.0006,-0.0006,0,0,0,0,0,0,0,0,0,87.1333,227,0,45.9038,0,0,0,0,595.55,1018,113,103.5965,31,40.9333,47,39,23.72,23.73,23.68
2021-06-29 01:30:00,0.7991,1.6544,0,0.3513,120,204.2961,29.3208,120,84.2764,84.4447,84.109,0.1001,120,21.5465,21.6007,21.4908,0.03,120,1010.161,1010.2664,1010.0467,0.0943,120,0,0,0,0,120,0,0,0,0,120,12.9621,13.2775,12.786,0.2366,120,120,0,0,0,0,0,120,3.5027,3.5044,3.5008,0.0016,0.5155,0.516,0.5149,0.0003,0.8428,0.8444,0.8411,0.001,-0.0001,-0.0001,-0.0001,0,-0.0006,-0.0006,-0.0006,0,0,0,0,0,0,0,0,0,64.4083,157,0,37.4174,0,0,0,0,580.925,829,387,83.9461,31,41.0667,45,39,23.7,23.73,23.68
